,Time,PTS,J,V,E,D,GP,GC,SG,CA,CV,%,UF
0,Flamengo,90,38,28,6,4,86,37,49,90,3,78, RJ
1,Santos,74,38,22,8,8,60,33,27,110,12,64, SP
2,Palmeiras,74,38,21,11,6,61,32,29,78,5,64, SP
3,Grêmio,65,38,19,8,11,64,39,25,80,2,57, RS
4,Athletico Paranaense,64,38,18,10,10,51,32,19,83,2,56, PR
5,São Paulo,63,38,17,12,9,39,30,9,87,7,55, SP
6,Internacional,57,38,16,9,13,44,38,6,98,3,50, RS
7,Corinthians,56,38,14,14,10,42,34,8,72,2,49, SP
8,Fortaleza,53,38,15,8,15,50,49,1,85,13,46, CE
9,Goiás,52,38,15,7,16,46,64,-18,86,7,45, GO
10,Bahia,49,38,12,13,13,44,43,1,65,6,42, BA
11,Vasco da Gama,49,38,12,13,13,39,45,-6,105,5,42, RJ
12,Atlético,48,38,13,9,16,44,49,-5,69,5,42, MG
13,Fluminense,46,38,12,10,16,38,46,-8,87,12,40, RJ
14,Botafogo,43,38,13,4,21,31,45,-14,94,3,37, RJ
15,Ceará,39,38,10,9,19,36,41,-5,85,3,34, CE
16,Cruzeiro,36,38,7,15,16,27,46,-19,81,6,31, MG
17,Csa,32,38,8,8,22,24,58,-34,90,4,28, AL
18,Chapecoense,32,38,7,11,20,31,52,-21,79,6,28, SC
19,Avaí,20,38,3,11,24,18,62,-44,79,10,17, SC
