gym_days_per_week,height,team,weight,BMI
4,173,Fluminense,85,28.40054796351365
0,170,Flamengo,70,24.221453287197235
2,183,,85,25.381468541909282
4,176,Sao Paulo,70,22.59814049586777
9,178,Palmeiras,73,23.04002019946976
0,180,Sao Paulo,90,27.777777777777775
0,183,Corinthians,65,19.409358296754156
0,186,Corinthians,97,28.037923459359458
1,165,Corinthians,65,23.875114784205696
0,160,Cruzeiro,55,21.484374999999996
6,175,,63,20.571428571428573
0,167,Vitoria,70,25.099501595611173
0,183,Palmeiras,83,24.78425751739377
1,190,Palmeiras,85,23.545706371191137
0,174,Corinthians,80,26.42356982428326
2,183,Sao Paulo,85,25.381468541909282
2,162,Santos,67,25.529644871208653
0,186,,86,24.858365128916635
3,174,Corinthians,83,27.414453692693883
0,172,Corinthians,92,31.09789075175771
3,190,,115,31.855955678670362
3,180,,85,26.234567901234566
2,178,Sao Paulo,95,29.983587930816814
5,182,Corinthians,74,22.34029706557179
5,160,,61,23.828124999999996
0,171,Corinthians,97,33.1726001162751
3,188,Sao Paulo,93,26.312811226799457
11,180,,83,25.61728395061728
0,170,Corinthians,77,26.643598615916957
0,173,XV Piracicaba,100,33.41240936883958
4,167,Corinthians,80,28.685144680698485
0,170,Sao Paulo,75,25.95155709342561
0,180,,120,37.03703703703704
0,185,,68,19.86851716581446
0,167,ABC,80,28.685144680698485
2,170,Corinthians,102,35.294117647058826
1,177,Sao Paulo,75,23.93948099205209
0,170,Corinthians,80,27.68166089965398
2,178,,68,21.461936624163616
3,175,Gamba Osaka,69,22.53061224489796
